PVM peer = seed.btc.petertodd.org:8333  version = 70015   user agent = /Satoshi:0.17.1/   time = 2020-04-11 21:20:12  now = 2020-04-11 21:20:13  since = 1.144801s  services = [12, 4, 0, 0, 0, 0, 0, 0]
PAR address= [ V4(128.210.61.76) = "vpn1.cyto.purdue.edu", V6(::ffff:128.210.61.76) = "vpn1.cyto.purdue.edu" ]    port = 8333   time = 2020-04-09 07:00:22  now = 2020-04-11 21:20:37  since = 224415.043266s  services = [13, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(47.112.184.163) = "47.112.184.163", V6(::ffff:47.112.184.163) = "::ffff:47.112.184.163" ]    port = 8333   time = 2020-04-11 00:14:25  now = 2020-04-11 21:20:37  since = 75972.213771s  services = [12, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(193.176.86.150) = "193.176.86.150", V6(::ffff:193.176.86.150) = "::ffff:193.176.86.150" ]    port = 8333   time = 2020-03-26 04:12:26  now = 2020-04-11 21:20:37  since = 1444091.255093s  services = [13, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(124.54.128.55) = "124.54.128.55", V6(::ffff:124.54.128.55) = "::ffff:124.54.128.55" ]    port = 8333   time = 2020-03-16 14:29:30  now = 2020-04-11 21:20:37  since = 2271067.297873s  services = [13, 0, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(81.61.195.150) = "81.61.195.150.dyn.user.ono.com", V6(::ffff:81.61.195.150) = "81.61.195.150.dyn.user.ono.com" ]    port = 8333   time = 2020-04-04 11:15:50  now = 2020-04-11 21:20:37  since = 641087.618668s  services = [13, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(129.254.194.56) = "pr-2515.etri.re.kr", V6(::ffff:129.254.194.56) = "pr-2515.etri.re.kr" ]    port = 8333   time = 2020-04-07 23:39:06  now = 2020-04-11 21:20:38  since = 337292.196422s  services = [13, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(202.185.162.3) = "202.185.162.3", V6(::ffff:202.185.162.3) = "::ffff:202.185.162.3" ]    port = 8333   time = 2020-03-18 19:18:45  now = 2020-04-11 21:20:38  since = 2080913.550247s  services = [13, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(82.129.66.67) = "82.129.66.67", V6(::ffff:82.129.66.67) = "::ffff:82.129.66.67" ]    port = 8333   time = 2020-04-04 13:52:53  now = 2020-04-11 21:20:38  since = 631665.605371s  services = [13, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(88.201.44.36) = "88.201.44.36", V6(2001:16b8:4043:9300:307b:8075:58c9:2c24) = "200116b840439300307b807558c92c24.dip.versatel-1u1.de" ]    port = 8333   time = 2020-03-27 12:49:03  now = 2020-04-11 21:20:39  since = 1326696.263041s  services = [9, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(95.179.156.250) = "95.179.156.250.vultr.com", V6(::ffff:95.179.156.250) = "95.179.156.250.vultr.com" ]    port = 8333   time = 2020-04-11 10:16:30  now = 2020-04-11 21:20:39  since = 39849.601438s  services = [13, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
